step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed
116,74,0,31,4,78,0,441.0,5.95945945945946,5.083600339062301
117,75,0,31,4,79,0,471.0,6.28,5.082969045702668
118,75,0,30,4,79,0,501.0,6.68,5.004118853438754
119,76,0,32,4,80,0,532.0,7.0,4.805226850243005
120,77,0,28,4,81,0,440.0,5.714285714285714,4.790842279966351
121,77,0,27,4,81,0,417.0,5.415584415584416,4.809563222207163
122,78,0,29,4,82,0,445.0,5.705128205128205,5.057647895282434
123,79,0,31,4,83,0,475.0,6.012658227848101,5.221793933459285
124,78,0,30,5,83,0,505.0,6.4743589743589745,5.427257553645932
125,79,0,31,5,84,0,535.0,6.772151898734177,5.4704686269775324
126,80,0,31,5,85,0,565.0,7.0625,5.483653381373564
127,80,0,30,5,85,0,595.0,7.4375,5.349846495644438
128,81,0,31,5,86,0,625.0,7.716049382716049,5.177818172380874
129,82,0,34,5,87,0,658.0,8.024390243902438,4.939365782580707
130,82,0,36,5,87,0,694.0,8.463414634146341,4.839058864189369
131,82,0,37,6,88,0,698.0,8.512195121951219,4.664517087488977
132,83,0,36,6,89,0,704.0,8.481927710843374,4.455840658365634
133,83,0,36,6,89,0,728.0,8.771084337349398,4.1086857378377575
134,84,0,38,6,90,0,741.0,8.821428571428571,3.9201055625015795
135,85,0,24,6,91,0,410.0,4.823529411764706,4.166312624830358
136,85,0,21,6,91,0,348.0,4.094117647058823,4.553429328577113
137,86,0,23,6,92,0,349.0,4.058139534883721,5.023070207483555
138,87,0,26,6,93,0,374.0,4.2988505747126435,5.27158498449356
139,87,0,26,6,93,0,400.0,4.597701149425287,5.3263430646061565
140,88,0,22,6,94,0,225.0,2.5568181818181817,5.321601458072501
141,89,0,22,6,95,0,201.0,2.258426966292135,5.4072426972973116
142,89,0,22,6,95,0,219.0,2.460674157303371,5.505956742589706
143,89,1,23,6,95,0,242.0,2.7191011235955056,5.543070915056116
144,90,1,26,6,96,0,267.0,2.966666666666667,5.509367618718385
145,89,1,26,7,96,0,293.0,3.292134831460674,5.456004292272825
146,90,1,31,7,97,0,323.0,3.588888888888889,5.354302233479629
147,92,0,32,7,99,0,353.0,3.8369565217391304,5.2024906909862345
148,92,0,34,7,99,0,387.0,4.206521739130435,5.197265529724326
149,93,0,35,7,100,0,421.0,4.526881720430108,4.973244782720047
150,94,0,31,7,101,0,321.0,3.4148936170212765,4.884629927182034
151,94,0,32,7,101,0,347.0,3.6914893617021276,4.839494932432724
152,95,0,35,7,102,0,381.0,4.010526315789473,4.798674118913832
153,96,0,38,7,103,0,418.0,4.354166666666667,4.749862864801592
154,96,0,38,7,103,0,456.0,4.75,4.618420537557955
155,97,0,41,7,104,0,496.0,5.11340206185567,4.48471042089703
156,98,0,42,7,105,0,533.0,5.438775510204081,4.305870648656614
157,97,0,44,8,105,0,551.0,5.680412371134021,4.084725596071054
158,98,0,47,8,106,0,597.0,6.091836734693878,3.6995709738394873
159,99,0,47,8,107,0,643.0,6.494949494949495,3.4818612657207075
160,99,0,52,8,107,0,695.0,7.02020202020202,3.365392161381222
161,100,0,56,8,108,0,750.0,7.5,3.1343068053124163
162,101,0,57,8,109,0,806.0,7.98019801980198,3.019969598702011
163,101,0,58,8,109,0,864.0,8.554455445544555,2.874693994962136
164,102,0,61,8,110,0,924.0,9.058823529411764,2.7113873661243586
165,103,0,64,8,111,0,987.0,9.58252427184466,2.520195722892905
166,103,0,65,8,111,0,1052.0,10.21359223300971,2.495875171968514
167,104,0,70,8,112,0,1121.0,10.778846153846153,2.3878585188791526
